Prods_impresionesyclics
1 de marzo de 2025 - 31 de marzo de 2025
Título del producto,Categoría (primer nivel),Clics,Impr.
"Actuador neumático para válvula de mariposa diámetros de 14"" a 16""",Ferretería,1,370
"Actuador neumático para válvula de mariposa diámetros de 4"" a 12""",Ferretería,4,943
Aspirador de humos portatil CLEANGO,Ferretería,17,"1,172"
Aspirador de humos portátil JETCLEAN DF,Ferretería,10,"2,418"
Boquilla de fluidificación, --,0,38
Brazo aspirante DYNAFLEX,Ferretería,0,63
Brazo aspirante EVOLUTION NO-SMOKE 3 m de longitud,Ferretería,3,392
Cabina de aspiración ZINCOCAR DF 3, --,0,352
Cabina de cortina de agua MINIVELO 1,Industria y negocios,8,"1,437"
Cabina de cortina de agua ZINCOVELO ZA/N 3, --,0,42
Cabina de cortina de agua ZINCOVELO ZA/N 3,Industria y negocios,2,160
Cabina de pintura TECNODRY, --,25,"1,550"
Colector de polvo para madera,Ferretería,39,"4,377"
Colector de polvo para silo, --,5,882
Colector de polvo para tolvas y depósitos con cuerpo en Inox,Casa y jardín,8,"1,300"
Indicador de nivel para silo 110VAC/50-60HZ,Ferretería,36,"3,401"
Pared móvil de aspiración WALLY DF/W 2.2,Casa y jardín,0,16
Placa de fluidificación, --,0,85
Sistema de control para válvula Pinch,Ferretería,13,"1,837"
Tarjeta de control de limpieza automática con economizador por diferencial de presión, --,26,"1,465"
Tarjeta secuenciadora para control de limpieza automática, --,1,293
TOLVA 4 PATAS PARA COLECTOR DE POLVO AIRFILL Ø 800MM,Industria y negocios,16,"1,009"
Válvula conexión rápida para sistema de limpieza de colector de polvo,Ferretería,13,"1,387"
Válvula de alivio de presión en silo,Ferretería,6,"1,299"
Válvula de guillotina, --,14,"1,730"
Válvula de mariposa,Ferretería,48,"4,990"
"Válvula pinch de 4"" con bridas PN10 (Ø 100 mm)",Ferretería,2,191
Válvula roscada para sistema de limpieza en colector de polvo,Ferretería,4,"1,095"
Válvula rotativa,Ferretería,22,"2,240"
Vibrador industrial, --,12,475
Vibrador industrial,Ferretería,53,"3,530"
