Prods_impresionesyclics
1 de enero de 2025 - 28 de febrero de 2025
Título del producto,Categoría (primer nivel),Clics,Impr.
"Actuador neumático para válvula de mariposa diámetros de 14"" a 16""",Ferretería,6,928
"Actuador neumático para válvula de mariposa diámetros de 4"" a 12""",Ferretería,31,"4,419"
Aspirador de humos portatil CLEANGO, --,4,990
Aspirador de humos portatil CLEANGO,Ferretería,21,"2,891"
Aspirador de humos portátil JETCLEAN DF,Ferretería,18,"3,068"
Boquilla de fluidificación, --,2,74
Brazo aspirante DYNAFLEX,Ferretería,2,352
Brazo aspirante EVOLUTION NO-SMOKE 3 m de longitud,Ferretería,8,"1,153"
Cabina de aspiración ZINCOCAR DF 3, --,4,964
Cabina de cortina de agua MINIVELO 1,Industria y negocios,41,"3,260"
Cabina de cortina de agua ZINCOVELO ZA/N 3, --,1,42
Cabina de cortina de agua ZINCOVELO ZA/N 3,Industria y negocios,34,"2,487"
Cabina de pintura TECNODRY, --,45,"4,785"
Cabina de pintura TECNODRY,Casa y jardín,1,149
Colector de polvo para madera,Ferretería,98,"11,187"
Colector de polvo para silo, --,13,"2,923"
Colector de polvo para tolvas y depósitos con cuerpo en Inox,Casa y jardín,27,"4,812"
Economizador IN=110VCA OUT=110VCA,Ferretería,0,2
Indicador de nivel para silo 110VAC/50-60HZ,Ferretería,40,"3,760"
Pared móvil de aspiración WALLY DF/W 2.2,Casa y jardín,0,72
Placa de fluidificación, --,0,91
Placa de fluidificación,Casa y jardín,10,712
Secuenciador,Ferretería,0,5
Sistema de control para válvula Pinch,Ferretería,12,"2,244"
Tarjeta de control de limpieza automática con economizador por diferencial de presión, --,1,139
Tarjeta secuenciadora para control de limpieza automática, --,11,806
TOLVA 4 PATAS PARA COLECTOR DE POLVO AIRFILL Ø 800MM,Industria y negocios,29,"3,009"
Válvula Conexión Rápida,Ferretería,0,21
Válvula conexión rápida para sistema de limpieza de colector de polvo,Ferretería,12,"1,980"
Válvula de alivio de presión en silo,Ferretería,22,"4,981"
Válvula de guillotina, --,110,"4,935"
Válvula de mariposa,Ferretería,82,"9,647"
"Válvula pinch de 4"" con bridas PN10 (Ø 100 mm)",Ferretería,1,422
Válvula Roscada,Ferretería,0,11
Válvula roscada para sistema de limpieza en colector de polvo,Ferretería,8,"1,882"
Válvula rotativa,Ferretería,60,"4,536"
Vibrador industrial, --,21,"2,494"
Vibrador industrial,Ferretería,97,"4,510"
Vibrofluidificadores para silos y tolvas, --,0,66
Vibrofluidificadores para silos y tolvas,Bebés y niños pequeños,9,562
