desempeno_por_dia
1 de marzo de 2025 - 31 de marzo de 2025
Día,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,% impr. (absoluto parte sup.),% impr. (parte sup.),Conversiones,Conv. posimpresión,Costo/conv.,Porcentaje de conv.
2025-03-31,35,"2,106",1.66%,MXN,1.88,65.68,0,0,0.00,0,0,0.00%
2025-03-25,12,641,1.87%,MXN,12.13,145.54,0,0,0.00,0,0,0.00%
2025-03-24,0,99,0.00%,MXN,0,0.00,0,0,0.00,0,0,0
2025-03-23,2,455,0.44%,MXN,2.83,5.66,0,0,0.00,0,0,0.00%
2025-03-22,65,"1,479",4.39%,MXN,6.56,426.12,0,0,0.00,0,0,0.00%
2025-03-21,73,"1,634",4.47%,MXN,5.82,424.65,0,0,7.00,0,60.66,7.69%
2025-03-20,67,"1,306",5.13%,MXN,9.48,634.86,0,0,7.00,0,90.69,8.97%
2025-03-19,69,"3,664",1.88%,MXN,6.68,461.21,0,0,5.00,0,92.24,0.88%
2025-03-18,147,"14,048",1.05%,MXN,4.36,640.42,0,0,0.00,0,0,0.00%
2025-03-17,31,"1,648",1.88%,MXN,2.55,79.11,0,0,0.00,0,0,0.00%
2025-03-14,4,231,1.73%,MXN,4.66,18.64,0,0,0.00,0,0,0.00%
2025-03-13,43,"1,842",2.33%,MXN,14.41,619.58,0,0,4.00,0,154.90,3.48%
2025-03-12,63,"4,333",1.45%,MXN,9.89,622.95,0,0,2.00,0,311.47,0.31%
2025-03-11,65,"3,088",2.10%,MXN,7.77,505.27,0,0,1.00,0,505.27,0.70%
2025-03-10,62,"2,313",2.68%,MXN,8.48,525.79,0,0,5.00,0,105.16,2.42%
2025-03-09,0,12,0.00%,MXN,0,0.17,0,0,0.00,0,0,0.00%
2025-03-08,0,18,0.00%,MXN,0,0.30,0,0,0.00,0,0,0.00%
2025-03-07,0,10,0.00%,MXN,0,0.03,0,0,0.00,0,0,0.00%
2025-03-06,0,5,0.00%,MXN,0,0.03,0,0,0.00,0,0,0
2025-03-05,6,431,1.39%,MXN,9.78,58.65,0,0,0.00,0,0,0.00%
2025-03-04,40,"2,220",1.80%,MXN,8.24,329.51,0,0,1.00,0,329.51,1.56%
2025-03-03,42,"1,734",2.42%,MXN,10.01,420.38,0,0,3.00,0,140.13,2.65%
2025-03-02,96,"2,915",3.29%,MXN,3.16,303.56,0,0,2.00,0,151.78,1.15%
2025-03-01,145,"2,809",5.16%,MXN,1.67,242.37,0,0,1.00,0,242.37,0.59%
