desempeno_por_dia
1 de enero de 2025 - 28 de febrero de 2025
Día,Clics,Impr.,CTR,Código de moneda,Prom. CPC,Costo,% impr. (absoluto parte sup.),% impr. (parte sup.),Conversiones,Conv. posimpresión,Costo/conv.,Porcentaje de conv.
2025-02-28,52,"1,754",2.96%,MXN,7.07,367.76,0,0,0.00,0,0,0.00%
2025-02-27,49,"4,187",1.17%,MXN,10.55,516.94,0,0,2.00,0,258.47,0.25%
2025-02-26,101,"12,577",0.80%,MXN,6.14,620.15,0,0,2.00,0,310.08,0.09%
2025-02-25,136,"14,442",0.94%,MXN,4.16,566.12,0,0,3.00,0,188.71,0.10%
2025-02-24,34,"3,785",0.90%,MXN,11.43,388.54,0,0,2.00,0,194.27,0.24%
2025-02-17,35,"1,757",1.99%,MXN,7.91,277.02,0,0,2.00,0,138.51,0.93%
2025-02-16,88,"3,631",2.42%,MXN,2.50,220.37,0,0,0.00,0,0,0.00%
2025-02-15,80,"2,497",3.20%,MXN,1.75,139.99,0,0,0.00,0,0,0.00%
2025-02-14,26,"1,851",1.40%,MXN,3.97,103.23,0,0,0.00,0,0,0.00%
2025-02-13,44,"2,819",1.56%,MXN,5.21,229.25,0,0,3.00,0,76.42,3.09%
2025-02-12,28,"2,170",1.29%,MXN,6.59,184.58,0,0,0.00,0,0,0.00%
2025-02-11,24,"1,754",1.37%,MXN,5.20,124.71,0,0,0.00,0,0,0.00%
2025-02-10,12,929,1.29%,MXN,6.58,78.98,0,0,0.00,0,0,0.00%
2025-02-09,0,1,0.00%,MXN,0,0.02,0,0,0.00,0,0,0
2025-02-08,0,6,0.00%,MXN,0,0.02,0,0,0.00,0,0,0.00%
2025-02-07,30,"1,299",2.31%,MXN,4.54,136.20,35.48%,64.52%,0.00,0,0,0.00%
2025-02-06,30,"2,107",1.42%,MXN,9.55,286.41,25.53%,36.17%,0.00,0,0,0.00%
2025-02-05,31,"1,673",1.85%,MXN,7.07,219.15,37.07%,50.86%,0.00,0,0,0.00%
2025-02-04,39,"1,749",2.23%,MXN,8.29,323.27,31.71%,47.97%,0.00,0,0,0.00%
2025-02-03,18,"1,722",1.05%,MXN,3.81,68.54,32.35%,48.53%,0.00,0,0,0.00%
2025-02-02,111,"7,340",1.51%,MXN,1.93,214.01,31.48%,42.59%,0.00,0,0,0.00%
2025-02-01,25,"2,286",1.09%,MXN,3.37,84.25,20.75%,33.96%,0.00,0,0,0.00%
2025-01-31,22,"1,596",1.38%,MXN,13.85,304.67,27.50%,37.50%,1.00,0,304.67,1.85%
2025-01-30,9,"1,172",0.77%,MXN,12.97,116.71,57.14%,57.14%,0.00,0,0,0.00%
2025-01-29,22,"1,403",1.57%,MXN,9.09,199.99,32.00%,56.00%,0.00,0,0,0.00%
2025-01-28,17,788,2.16%,MXN,11.97,203.53,30.23%,44.19%,3.00,0,67.84,8.82%
2025-01-27,14,"1,411",0.99%,MXN,5.11,71.61,0,0,1.00,0,71.61,5.26%
2025-01-22,69,"3,059",2.26%,MXN,3.10,213.90,35.92%,58.25%,0.00,0,0,0.00%
2025-01-21,44,"3,965",1.11%,MXN,4.96,218.45,22.48%,34.11%,0.00,0,0,0.00%
2025-01-20,43,"1,384",3.11%,MXN,7.94,341.34,22.95%,34.43%,1.00,0,341.34,1.54%
2025-01-19,0,3,0.00%,MXN,0,0.00,0,0,0.00,0,0,0.00%
2025-01-18,0,3,0.00%,MXN,0,0.11,0,0,0.00,0,0,0.00%
2025-01-17,0,2,0.00%,MXN,0,0.01,0,0,0.00,0,0,0
2025-01-16,2,331,0.60%,MXN,7.19,14.39,0.00%,40.00%,0.00,0,0,0.00%
2025-01-15,17,746,2.28%,MXN,18.47,314.03,19.67%,32.79%,2.00,0,157.02,8.33%
2025-01-14,13,"1,023",1.27%,MXN,11.86,154.16,16.67%,28.79%,0.00,0,0,0.00%
2025-01-13,19,975,1.95%,MXN,8.83,167.86,11.84%,21.05%,1.00,0,167.86,3.03%
2025-01-12,30,"1,951",1.54%,MXN,5.60,167.87,7.89%,26.32%,0.00,0,0,0.00%
2025-01-11,31,"1,342",2.31%,MXN,5.71,177.04,37.84%,51.35%,0.00,0,0,0.00%
2025-01-10,36,"1,577",2.28%,MXN,6.55,235.75,23.53%,32.94%,2.00,0,117.87,3.57%
2025-01-09,37,"1,497",2.47%,MXN,5.14,190.19,20.24%,34.52%,1.00,0,190.19,2.04%
2025-01-08,37,"1,123",3.29%,MXN,5.93,219.46,11.11%,27.78%,0.00,0,0,0.00%
2025-01-07,42,"1,847",2.27%,MXN,6.28,263.92,40.00%,65.00%,0.00,0,0,0.00%
2025-01-06,38,"1,923",1.98%,MXN,9.14,347.23,36.05%,47.67%,1.00,0,347.23,0.33%
2025-01-05,138,"2,861",4.82%,MXN,0.75,103.99,29.63%,33.33%,1.00,0,103.99,0.55%
2025-01-04,99,"2,388",4.15%,MXN,2.01,199.29,33.33%,38.89%,0.00,0,0,0.00%
2025-01-03,73,"2,117",3.45%,MXN,2.03,147.89,26.74%,37.21%,0.00,0,0,0.00%
2025-01-02,116,"2,699",4.30%,MXN,2.57,298.18,37.14%,45.71%,0.00,0,0,0.00%
2025-01-01,1,45,2.22%,MXN,0.53,0.53,0,0,0.00,0,0,0.00%
