rendimientoxubicacion
1 de marzo de 2025 - 31 de marzo de 2025
Estado/provincia (coincidente),Clics,Impr.
Aguascalientes,0,0
Akua Ibom,0,0
Andhra Pradesh,0,0
Arunachal Pradesh,0,0
Assam,0,0
Bahía,0,0
Baja California,0,0
Baja California Sur,0,0
Bengala Occidental,0,0
Bihar,0,0
California,0,0
Campeche,0,0
Chhattisgarh,0,0
Chiapas,0,0
Chihuahua,0,0
Ciudad de México,14,275
Coahuila de Zaragoza,0,0
Cojedes,0,0
Colima,0,0
Delta,0,0
Delta Amacuro,0,0
Durango,0,0
Enugu,0,0
Estado de Lagos,0,0
Estado de México,235,"12,660"
Estado de Paraná,0,0
Estado de Río de Janeiro,0,0
Estado de São Paulo,0,0
Goa,0,0
Goiás,0,0
Guanajuato,40,"1,121"
Guerrero,29,"1,045"
Guyarat,0,0
Haryana,0,0
Hidalgo,47,"1,846"
Himachal Pradesh,0,0
Illinois,0,0
Imo,0,0
Jalisco,172,"10,023"
Jammu y Cachemira,0,0
Jharkhand,0,0
Johor,0,0
Kaduna,0,0
Karnataka,0,0
Kelantan,0,0
Kerala,0,0
La Guaira,0,0
Madhya Pradesh,0,0
Maharastra,0,0
Malaca,0,0
Manipur,0,0
Maranhão,0,0
Massachusetts,0,0
Mato Grosso del Sur,0,0
Megalaya,0,0
Michoacán,10,576
Minas Gerais,0,0
Mizorán,0,0
Morelos,24,"1,539"
Nagaland,0,0
Nayarit,0,0
Negeri Sembilan,0,0
Nuevo León,182,"5,434"
Oaxaca,18,"1,165"
Ogún,0,0
Orissa,0,0
Pará,0,0
Paraíba,0,0
Penang,0,0
Piauí,0,0
Puebla,110,"4,766"
Punyab,0,0
Querétaro,77,"4,059"
Quintana Roo,0,0
Rajastán,0,0
Renania-Palatinado,0,0
Río Grande del Sur,0,0
Ríos,0,0
Rondonia,0,0
Sabah,0,0
San Luis Potosí,0,126
Sarawak,0,0
Selangor,0,0
Sikkim,0,0
Sinaloa,0,0
Sonora,0,0
Tabasco,0,0
Tamaulipas,0,0
Tamil Nadu,0,0
Telangana,0,0
Territorio Capital Federal Abuya,0,0
Territorio Federal de Kuala Lumpur,0,0
Tlaxcala,16,801
Tripura,0,0
Uttar Pradesh,0,0
Uttarakhand,0,0
Veracruz,93,"3,604"
Yucatán,0,0
Zacatecas,0,0
