rendimientoxubicacion
1 de enero de 2025 - 28 de febrero de 2025
Estado/provincia (coincidente),Clics,Impr.
Aguascalientes,0,0
Akua Ibom,0,0
Andhra Pradesh,0,0
Arunachal Pradesh,0,0
Assam,0,0
Bahía,0,0
Baja California,0,0
Baja California Sur,0,0
Bengala Occidental,0,0
Bihar,0,0
California,0,0
Campeche,0,0
Chhattisgarh,0,0
Chiapas,0,0
Chihuahua,0,0
Ciudad de México,23,694
Coahuila de Zaragoza,0,0
Cojedes,0,0
Colima,0,0
Delta,0,0
Delta Amacuro,0,0
Durango,0,0
Enugu,0,0
Estado de Lagos,0,0
Estado de México,489,"32,073"
Estado de Paraná,0,0
Estado de Río de Janeiro,0,0
Estado de São Paulo,0,0
Goa,0,0
Goiás,0,0
Guanajuato,53,"1,783"
Guerrero,49,"2,094"
Guyarat,0,0
Haryana,0,0
Hidalgo,75,"4,334"
Himachal Pradesh,0,0
Illinois,0,0
Imo,0,0
Jalisco,389,"23,220"
Jammu y Cachemira,0,0
Jharkhand,0,0
Johor,0,0
Kaduna,0,0
Karnataka,0,0
Kelantan,0,0
Kerala,0,0
La Guaira,0,0
Madhya Pradesh,0,0
Maharastra,0,0
Malaca,0,0
Manipur,0,0
Maranhão,0,0
Massachusetts,0,0
Mato Grosso del Sur,0,0
Megalaya,0,0
Michoacán,38,"1,416"
Minas Gerais,0,0
Mizorán,0,0
Morelos,57,"4,027"
Nagaland,0,0
Nayarit,0,0
Negeri Sembilan,0,0
Nuevo León,170,"8,976"
Oaxaca,48,"2,574"
Ogún,0,0
Orissa,0,0
Pará,0,0
Paraíba,0,0
Penang,0,0
Piauí,0,0
Puebla,243,"10,786"
Punyab,0,0
Querétaro,160,"9,016"
Quintana Roo,0,0
Rajastán,0,0
Renania-Palatinado,0,0
Río Grande del Sur,0,0
Ríos,0,0
Rondonia,0,0
Sabah,0,0
San Luis Potosí,11,291
Sarawak,0,0
Selangor,0,0
Sikkim,0,0
Sinaloa,0,0
Sonora,0,0
Tabasco,0,0
Tamaulipas,0,0
Tamil Nadu,0,0
Telangana,0,0
Territorio Capital Federal Abuya,0,0
Territorio Federal de Kuala Lumpur,0,0
Tlaxcala,35,"2,881"
Tripura,0,0
Uttar Pradesh,0,0
Uttarakhand,0,0
Veracruz,122,"7,398"
Yucatán,0,0
Zacatecas,0,0
